#	Code	Name	Hex	R	G	B	C	M	Y	K
67	637	Terre Verte	#9BB884	155	184	132	39.0	11.0	56.0	0.0
68	447	Olive Green	#344528	52	69	40	70.0	47.0	96.0	46.0
69	617	Silver	#B3B5B2	179	181	178	27.0	21.0	22.0	0.0
70	331	Ivory Black	#0E100E	14	16	14	73.0	67.0	67.0	86.0
71	183	Cobalt Chromite Green	#89B090	137	176	144	46.0	13.0	46.0	0.0
72	481	Permanent Green	#318A43	49	138	67	80.0	19.0	100.0	5.0
73	483	Permanent Green Light	#318A43	49	138	67	80.0	19.0	100.0	5.0
74	599	Sap Green	#215B31	33	91	49	85.0	35.0	100.0	29.0
75	721	Winsor Green (Yellow Shade)	#258040	37	128	64	83.0	23.0	100.0	9.0
76	142	Charcoal Grey	#1A1D1B	26	29	27	72.0	65.0	64.0	73.0
77	147	Chrome Green Deep Hue	#1F6D39	31	109	57	86.0	30.0	100.0	18.0
78	482	Permanent Green Deep	#1D8342	29	131	66	84.0	21.0	100.0	7.0
79	540	Prussian Green	#166135	22	97	53	89.0	33.0	100.0	24.0
80	505	Perylene Black	#1E2C24	30	44	36	75.0	50.0	71.0	67.0
81	386	Mars Black	#141615	20	22	21	73.0	67.0	65.0	80.0
82	337	Lamp Black	#111312	17	19	18	73.0	67.0	66.0	83.0
83	696	Viridian Hue	#1C915A	28	145	90	82.0	15.0	83.0	2.0
84	720	Winsor Green (Phthalo)	#12774C	18	119	76	88.0	26.0	87.0	13.0
85	708	Winsor Emerald	#269768	38	151	104	78.0	13.0	73.0	1.0
86	420	Cinnabar Green	#00825B	0	130	91	100.0	0.0	75.0	20.0
87	412	Mineral Green Deep	#004B43	0	75	67	93.0	14.0	53.0	57.0
88	191	Cobalt Turquoise Light	#13A99D	19	169	157	76.0	4.0	40.0	0.0
89	190	Cobalt Turquoise	#106966	16	105	102	89.0	37.0	53.0	15.0
90	34	Blue Black	#0C1111	12	17	17	77.0	67.0	65.0	84.0
91	184	Cobalt Green	#124047	18	64	71	94.0	58.0	51.0	35.0
92	526	Phthalo Turquoise	#18505D	24	80	93	92.0	54.0	44.0	22.0
