Code,Name,C,M,Y,K,R,G,B,Hex
543,Purple Madder,35.0,100.0,66.0,46.0,85,22,40,#551628
544,Purple Lake,64.0,88.0,44.0,41.0,64,36,56,#402438
545,Quinacridone Magenta,30.0,87.0,0.0,0.0,163,66,137,#A34289
548,Quinacridone Red,0.0,93.0,61.0,0.0,218,55,78,#DA374E
552,Raw Sienna,19.0,53.0,100.0,3.0,189,124,50,#BD7C32
554,Raw Umber,46.0,68.0,82.0,56.0,67,49,36,#433124
557,Raw Umber Light,25.0,38.0,100.0,3.0,180,144,53,#B49035
558,Raw Umber (Green Shade),38.0,45.0,74.0,13.0,139,118,81,#8B7651
573,Renaissance Gold,13.0,46.0,95.0,0.0,208,141,57,#D08D39
576,Rose Dore,6.0,50.0,37.0,0.0,220,141,131,#DC8D83
587,Rose Madder Genuine,7.0,84.0,42.0,0.0,207,76,101,#CF4C65
599,Sap Green,85.0,35.0,100.0,29.0,33,91,49,#215B31
603,Scarlet Lake,11.0,100.0,100.0,2.0,192,37,43,#C0252B
617,Silver,27.0,21.0,22.0,0.0,179,181,178,#B3B5B2
635,Terra Rosa,22.0,100.0,100.0,13.0,156,39,42,#9C272A
637,Terre Verte,39.0,11.0,56.0,0.0,155,184,132,#9BB884
644,Titanium White,0.0,0.0,0.0,0.0,255,255,255,#FFFFFF
646,Transparent Gold Ochre,11.0,33.0,92.0,0.0,216,166,62,#D8A63E
647,Transparent Red Ochre,10.0,67.0,91.0,1.0,203,107,58,#CB6B3A
648,Transparent Brown Oxide,33.0,70.0,84.0,29.0,119,72,50,#774832
650,Transparent Orange,0.0,86.0,100.0,0.0,221,72,43,#DD482B
653,Transparent Yellow,4.0,2.0,98.0,0.0,247,232,33,#F7E821
657,Transparent Maroon,23.0,84.0,90.0,14.0,156,66,51,#9C4233
667,Ultramarine (Green Shade),95.0,67.0,5.0,0.0,22,85,145,#165591
669,Ultramarine Pink,17.0,100.0,0.0,33.0,128,14,87,#800E57
672,Ultramarine Violet,60.0,78.0,7.0,0.0,113,78,136,#714E88
674,Underpainting White (Fast Drying),0.0,0.0,0.0,0.0,255,255,255,#FFFFFF
676,Vandyke Brown,65.0,72.0,64.0,79.0,25,20,20,#191414
678,Venetian Red,27.0,98.0,100.0,28.0,124,36,35,#7C2423
696,Viridian Hue,82.0,15.0,83.0,2.0,28,145,90,#1C915A
706,Winsor Blue (Red Shade),97.0,71.0,12.0,2.0,22,79,132,#164F84
707,Winsor Blue (Green Shade),100.0,87.0,32.0,19.0,32,48,85,#203055
708,Winsor Emerald,78.0,13.0,73.0,1.0,38,151,104,#269768
710,Smalt (Dumont's Blue),100.0,91.0,0.0,13.0,33,49,114,#213172
720,Winsor Green (Phthalo),88.0,26.0,87.0,13.0,18,119,76,#12774C
721,Winsor Green (Yellow Shade),83.0,23.0,100.0,9.0,37,128,64,#258040
722,Winsor Lemon,4.0,0.0,89.0,0.0,247,236,64,#F7EC40
724,Winsor Orange,11.0,53.0,98.0,0.0,210,130,51,#D28233
725,Winsor Red Deep,17.0,100.0,94.0,8.0,172,39,48,#AC2730
726,Winsor Red,13.0,100.0,100.0,4.0,185,38,43,#B9262B
730,Winsor Yellow,5.0,2.0,100.0,0.0,245,231,28,#F5E71C
731,Winsor Yellow Deep,5.0,41.0,100.0,0.0,226,154,48,#E29A30
733,Winsor Violet (Dioxazine),77.0,99.0,13.0,2.0,83,44,109,#532C6D
744,Yellow Ochre,24.0,43.0,96.0,3.0,181,137,58,#B5893A
745,Yellow Ochre Light,22.0,40.0,100.0,2.0,188,145,52,#BC9134
746,Yellow Ochre Pale,12.0,39.0,100.0,0.0,212,155,48,#D49B30
748,Zinc White,0.0,0.0,0.0,0.0,255,255,255,#FFFFFF
890,Cadmium-Free Yellow,5.0,45.0,100.0,0.0,225,147,48,#E19330
891,Cadmium-Free Yellow Deep,7.0,59.0,100.0,0.0,216,122,46,#D87A2E
895,Cadmium-Free Red Deep,23.0,100.0,85.0,17.0,147,35,49,#932331
897,Cadmium-Free Green Pale,41.0,4.0,100.0,0.0,154,192,62,#9AC03E
898,Cadmium-Free Lemon,4.0,0.0,94.0,0.0,247,236,49,#F7EC31
899,Cadmium-Free Orange,9.0,70.0,100.0,1.0,205,102,46,#CD662E
901,Cadmium-Free Red,11.0,100.0,86.0,2.0,192,38,55,#C02637
903,Cadmium-Free Scarlet,9.0,89.0,100.0,2.0,198,64,44,#C6402C
907,Cadmium-Free Yellow Pale,2.0,12.0,100.0,0.0,247,212,34,#F7D422
