Code,Name,C,M,Y,K
721,Winsor Green (Yellow Shade),83.0,23.0,100.0,9.0
722,Winsor Lemon,4.0,0.0,89.0,0.0
724,Winsor Orange,11.0,53.0,98.0,0.0
725,Winsor Red Deep,17.0,100.0,94.0,8.0
726,Winsor Red,13.0,100.0,100.0,4.0
730,Winsor Yellow,5.0,2.0,100.0,0.0
731,Winsor Yellow Deep,5.0,41.0,100.0,0.0
733,Winsor Violet (Dioxazine),77.0,99.0,13.0,2.0
744,Yellow Ochre,24.0,43.0,96.0,3.0
745,Yellow Ochre Light,22.0,40.0,100.0,2.0
746,Yellow Ochre Pale,12.0,39.0,100.0,0.0
748,Zinc White,0.0,0.0,0.0,0.0
890,Cadmium-Free Yellow,5.0,45.0,100.0,0.0
891,Cadmium-Free Yellow Deep,7.0,59.0,100.0,0.0
895,Cadmium-Free Red Deep,23.0,100.0,85.0,17.0
897,Cadmium-Free Green Pale,41.0,4.0,100.0,0.0
898,Cadmium-Free Lemon,4.0,0.0,94.0,0.0
899,Cadmium-Free Orange,9.0,70.0,100.0,1.0
901,Cadmium-Free Red,11.0,100.0,86.0,2.0
903,Cadmium-Free Scarlet,9.0,89.0,100.0,2.0
907,Cadmium-Free Yellow Pale,2.0,12.0,100.0,0.0
